#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.825,0.8,0.85,1.228124,0.00055203,-0.00055203,0.031158,-0.031158
0.875,0.85,0.9,1.235489,0.00059721,-0.00059721,0.03014,-0.03014
0.925,0.9,0.95,1.243151,0.00064978,-0.00064978,0.028338,-0.028338
0.975,0.95,1.0,1.250568,0.00068999,-0.00068999,0.029811,-0.029811
1.05,1.0,1.1,1.26389,0.00053484,-0.00053484,0.031278,-0.031278
1.15,1.1,1.2,1.280236,0.00059497,-0.00059497,0.032717,-0.032717
1.2999999999999998,1.2,1.4,1.297585,0.00039071,-0.00039071,0.036772,-0.036772
1.5,1.4,1.6,1.326095,0.00047174,-0.00047174,0.039847,-0.039847
1.7000000000000002,1.6,1.8,1.354062,0.00056489,-0.00056489,0.043212,-0.043212
1.9,1.8,2.0,1.385537,0.00067295,-0.00067295,0.045895,-0.045895
2.1,2.0,2.2,1.419955,0.00096334,-0.00096334,0.049802,-0.049802
2.3,2.2,2.4,1.45033,0.0011219,-0.0011219,0.051936,-0.051936
2.5,2.4,2.6,1.484227,0.0013305,-0.0013305,0.052,-0.052
2.7,2.6,2.8,1.515308,0.0015694,-0.0015694,0.055711,-0.055711
2.9,2.8,3.0,1.540187,0.0018489,-0.0018489,0.058533,-0.058533
3.1,3.0,3.2,1.566203,0.002154,-0.002154,0.05708,-0.05708
3.4000000000000004,3.2,3.6,1.606878,0.0017913,-0.0017913,0.06073,-0.06073
3.8,3.6,4.0,1.654046,0.0025078,-0.0025078,0.062651,-0.062651
4.5,4.0,5.0,1.701585,0.0026371,-0.0026371,0.065269,-0.065269
5.5,5.0,6.0,1.73984,0.0050316,-0.0050316,0.059174,-0.059174
7.0,6.0,8.0,1.780769,0.0068234,-0.0068234,0.058047,-0.058047
9.0,8.0,10.0,1.874375,0.013731,-0.013731,0.05743,-0.05743
11.5,10.0,13.0,1.9843,0.020828,-0.020828,0.065571,-0.065571
16.5,13.0,20.0,2.14538,0.032098,-0.032098,0.08163,-0.08163
25.0,20.0,30.0,2.370267,0.079962,-0.079962,0.11168,-0.11168
40.0,30.0,50.0,2.495516,0.17162,-0.17162,0.15715,-0.15715

#: CENT,,,10-20 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.158999,0.0007317,-0.0007317,0.074258,-0.074258
0.225,0.2,0.25,1.160236,0.00041996,-0.00041996,0.049255,-0.049255
0.275,0.25,0.3,1.153283,0.00034997,-0.00034997,0.042869,-0.042869
0.32499999999999996,0.3,0.35,1.163531,0.00032262,-0.00032262,0.034933,-0.034933
0.375,0.35,0.4,1.173935,0.00031414,-0.00031414,0.035655,-0.035655
0.42500000000000004,0.4,0.45,1.180605,0.00031289,-0.00031289,0.036279,-0.036279
0.475,0.45,0.5,1.188164,0.00032307,-0.00032307,0.036465,-0.036465
0.525,0.5,0.55,1.194469,0.0003431,-0.0003431,0.036425,-0.036425
0.575,0.55,0.6,1.205141,0.00036491,-0.00036491,0.036039,-0.036039
0.625,0.6,0.65,1.210284,0.00039089,-0.00039089,0.035102,-0.035102
0.675,0.65,0.7,1.215164,0.00041942,-0.00041942,0.033653,-0.033653
0.725,0.7,0.75,1.220224,0.0004468,-0.0004468,0.032955,-0.032955
0.775,0.75,0.8,1.22391,0.00047964,-0.00047964,0.032009,-0.032009
0.825,0.8,0.85,1.232345,0.00051877,-0.00051877,0.031373,-0.031373
0.875,0.85,0.9,1.238677,0.0005646,-0.0005646,0.029927,-0.029927
0.925,0.9,0.95,1.249517,0.00060687,-0.00060687,0.028615,-0.028615
0.975,0.95,1.0,1.253445,0.00065262,-0.00065262,0.03029,-0.03029
1.05,1.0,1.1,1.269051,0.00050046,-0.00050046,0.031588,-0.031588
1.15,1.1,1.2,1.285163,0.00055865,-0.00055865,0.03237,-0.03237
1.2999999999999998,1.2,1.4,1.302696,0.00035691,-0.00035691,0.035836,-0.035836
1.5,1.4,1.6,1.331886,0.0004311,-0.0004311,0.03919,-0.03919
1.7000000000000002,1.6,1.8,1.360651,0.00051443,-0.00051443,0.042563,-0.042563
