#: table_doi: 10.17182/hepdata.86210.v1/t2
#: name: Table 2
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.625,0.6,0.65,874.763,0.23838,-0.23838,16.642,-16.642
0.675,0.65,0.7,798.973,0.23215,-0.23215,14.24,-14.24
0.725,0.7,0.75,729.542,0.22423,-0.22423,12.338,-12.338
0.775,0.75,0.8,664.682,0.21865,-0.21865,10.46,-10.46
0.825,0.8,0.85,606.816,0.21474,-0.21474,8.984,-8.984
0.875,0.85,0.9,552.909,0.21312,-0.21312,6.8953,-6.8953
0.925,0.9,0.95,504.775,0.20633,-0.20633,4.9094,-4.9094
0.975,0.95,1.0,459.368,0.20243,-0.20243,5.5697,-5.5697
1.05,1.0,1.1,400.449,0.13335,-0.13335,5.2064,-5.2064
1.15,1.1,1.2,332.986,0.12198,-0.12198,3.9611,-3.9611
1.25,1.2,1.3,274.498,0.083796,-0.083796,3.6999,-3.6999
1.35,1.3,1.4,231.716,0.071821,-0.071821,3.1072,-3.1072
1.45,1.4,1.5,190.85,0.06845,-0.06845,2.5312,-2.5312
1.55,1.5,1.6,160.14,0.058379,-0.058379,2.264,-2.264
1.65,1.6,1.7,132.888,0.055284,-0.055284,1.9614,-1.9614
1.75,1.7,1.8,111.458,0.047174,-0.047174,1.6037,-1.6037
1.85,1.8,1.9,92.598,0.043447,-0.043447,1.424,-1.424
1.95,1.9,2.0,77.511,0.037082,-0.037082,1.1705,-1.1705
2.1,2.0,2.2,59.52013,0.030617,-0.030617,0.89899,-0.89899
2.3,2.2,2.4,41.46228,0.02358,-0.02358,0.65429,-0.65429
